id1,date,survey_area,v1_sex,v2_gen,v3_residence,「道内」の場合の市町村名,「道外」の場合の市町村名,v4_fishing_experience_years,v5_fishing_days_this_season,v6_fishing_days_last_season,v7_no_spot_reservation,v7_no_tent,v7_no_dune_destruction,v7_no_entry_restricted_area,v7_no_littering,v7_no_fishing_in_restricted_area,v8_max_rods_three,v8_max_catch_three,v8_discourage_release,v8_discourage_miniboat_use,v8_discourage_illegal_parking,v8_discourage_camping,v8_discourage_bonfire,v8_use_designated_toilets,v9_checked_last_year_only,v9_never_checked,v9_info_tv_newspaper,v9_info_fishing_magazine,v9_info_abashiri_city_website,v9_info_abashiri_city_sns,v9_info_beach_signboard,v9_info_friends_word_of_mouth,v9_info_personal_sns,v9_info_web_blog,v9_other,v10_formulation_procedure,v11_improve_transparency_process,v11_improve_opportunity_for_input,v11_reflect_fishers_opinions,v11_no_need_for_rule_making,v11_other,v12_fisher_burden,v13_user_burden,v14_license_system,v15_1_purchase_intent,v15_2_license_type,v15_3_license_wtp," 5,000円以下（　　　　　円）の場合、いくら？（半角数字のみ入力）"," 150,000円以上（　　　　　円）の場合、いくら？（半角数字のみ入力）",v16_desired_fishing_days,v17_1_max_rods_three,v17_1_max_catch_three,v17_1_no_spot_reservation,v17_1_all_equally_important,v17_1_dont_know,v17_2_max_rods_three,v17_2_max_catch_three,v17_2_no_spot_reservation,v17_2_all_equally_important,v17_2_dont_know,v17_3_reason_reduce_enjoyment,v17_3_reason_insufficient_discussion,v17_3_reason_ambiguous_rule,v17_3_reason_difficult_to_follow,v17_3_reason_unlikely_to_be_followed,v17_3_reason_has_loopholes,v17_3_other,v18_household_income,free_text_response
1,9月27日_プレ,モヨロ,男性,50代,道内,,,20年以上,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,,知っていて、納得している,0,0,0,0,,知っている,そう思う,賛成,ライセンスを購入する,1シーズン有効券,10000,,,5日以上10日未満,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,,400万円以上600万円未満,
2,9月27日_プレ,モヨロ,男性,80代以上,道内,石狩,,20年以上,10日以上30日未満,10日以上30日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,,知っていて、納得している,0,0,0,0,,知っている,そう思う,賛成,ライセンスを購入する,1シーズン有効券,5000,,,5日以上10日未満,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,200万円以上400万円未満,
3,9月27日_プレ,モヨロ,男性,50代,道内,,,10年以上20年未満,5日未満,5日以上10日未満,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,,知らないし、納得していない,1,0,0,0,,少し知っている,わからない,どちらかといえば賛成,ライセンスを購入する,1シーズンの週末（土日）のみ有効券,10000,,,5日以上10日未満,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,400万円以上600万円未満,
4,9月27日_プレ,モヨロ,男性,30代,道内,赤平市,,10年以上20年未満,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,,知らないが、納得している,0,0,0,0,,あまり知らない,そう思わない,どちらかといえば反対,ライセンスを購入しない,NA,5000,,,わからない,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,,400万円以上600万円未満,
5,9月27日_プレ,モヨロ,男性,60代,道内,北見市,,20年以上,5日未満,10日以上30日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,,知っているが、納得していない,0,0,1,0,,知っている,そう思わない,どちらかといえば反対,ライセンスを購入しない,NA,NA,,,わからない,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,,400万円以上600万円未満,
6,9月27日_プレ,モヨロ,男性,60代,道内,留萌,,20年以上,5日未満,昨シーズンは来ていない,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,知らないが、納得している,0,1,0,0,,少し知っている,わからない,どちらかといえば賛成,ライセンスを購入する,1日有効券,5000円以下（　　　　　円）,1000,,5日未満,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,,200万円未満,
7,9月27日_プレ,モヨロ,男性,40代,道内,,,5年以上10年未満,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,,知っていて、納得している,0,0,1,0,,知っている,そう思う,反対,ライセンスを購入する,1日有効券,5000円以下（　　　　　円）,2000,,10日以上30日未満,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,,"1,500万円以上",
8,9月27日_プレ,モヨロ,男性,60代,道内,美幌町,,20年以上,5日未満,昨シーズンは来ていない,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,,知らないし、納得していない,1,0,0,0,,知っている,ややそう思う,反対,ライセンスを購入する,1シーズン有効券,5000,,,10日以上30日未満,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,400万円以上600万円未満,
9,9月27日_プレ,モヨロ,男性,50代,道内,札幌,,20年以上,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,,知っていて、納得している,0,0,0,0,,知っている,そう思う,どちらかといえば賛成,ライセンスを購入する,1シーズン有効券,わからない,,,5日以上10日未満,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,400万円以上600万円未満,駐車場の問題をもう少しかんりしてほしい　有料でも可
10,9月27日_プレ,鱒浦,男性,70代,網走市内,,,5年以上10年未満,30日以上50日未満,50日以上,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,知らないし、納得していない,0,0,0,0,分からない,知っている,そう思わない,反対,ライセンスを購入しない,NA,NA,,,わからない,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,,200万円未満,
11,9月27日_プレ,鱒浦,男性,70代,道内,大空町,,20年以上,30日以上50日未満,30日以上50日未満,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,市のかいらんばん,知っているが、納得していない,0,0,1,0,つりスペースの増加,知っている,そう思わない,反対,ライセンスを購入しない,NA,NA,,,NA,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,400万円以上600万円未満,
12,9月27日_プレ,鱒浦,男性,60代,道内,旭川,,20年以上,5日未満,5日未満,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,知っていて、納得している,0,0,1,0,,知っている,ややそう思う,どちらかといえば反対,ライセンスを購入しない,NA,NA,,,5日未満,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,200万円以上400万円未満,
13,9月27日_プレ,鱒浦,女性,50代,道内,大空町,,5年未満,5日以上10日未満,5日未満,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,,知っているが、納得していない,1,0,0,0,,知っている,そう思わない,反対,ライセンスを購入しない,NA,5000,,,わからない,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,400万円以上600万円未満,
14,9月27日_プレ,鱒浦,男性,70代,網走市内,,,20年以上,5日以上10日未満,5日未満,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,,NA,0,0,0,1,,NA,そう思う,どちらかといえば賛成,ライセンスを購入する,1シーズン有効券,30000,,,10日以上30日未満,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,,200万円未満,
15,9月27日_プレ,鱒浦,男性,60代,道内,富良野,,10年以上20年未満,5日未満,5日未満,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,,知らないが、納得している,0,0,0,0,,あまり知らない,そう思わない,どちらかといえば反対,ライセンスを購入する,1シーズン有効券,5000,,,5日未満,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,,200万円未満,年間4～5回しかこないので　できればライセンスはない方が良い
16,9月27日_プレ,鱒浦,男性,60代,網走市内,,,20年以上,10日以上30日未満,50日以上,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,市・漁組のあんない,知っているが、納得していない,0,0,0,1,,知っている,ややそう思う,NA,ライセンスを購入する,1シーズン有効券,NA,,,50日以上,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,,200万円以上400万円未満,港の使用について
17,9月27日_プレ,鱒浦,女性,50代,道内,大空町,,10年以上20年未満,5日以上10日未満,10日以上30日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,つり具や,知っていて、納得している,0,0,0,0,,知っている,そう思わない,どちらかといえば賛成,ライセンスを購入する,1シーズンの週末（土日）のみ有効券,NA,,,10日以上30日未満,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,"800万円以上1,000万円未満",
18,9月27日_プレ,鱒浦,男性,60代,道内,旭川,,20年以上,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,,知っていて、納得している,0,0,0,0,,知っている,そう思わない,わからない,ライセンスを購入する,1シーズン有効券,5000,,,10日以上30日未満,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,,400万円以上600万円未満,
19,9月27日_プレ,鱒浦,男性,50代,道内,北見,,20年以上,5日以上10日未満,10日以上30日未満,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,,知っていて、納得している,0,0,0,0,,知っている,あまりそう思わない,どちらかといえば反対,ライセンスを購入する,1シーズン有効券,5000,,,10日以上30日未満,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,,"800万円以上1,000万円未満",みんなでマナーを守り、楽しく釣りが出来るようになってほしいです。
20,9月27日_プレ,鱒浦,男性,70代,道内,北見,,20年以上,30日以上50日未満,50日以上,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,,知っているが、納得していない,0,0,1,0,,知っている,あまりそう思わない,どちらかといえば反対,ライセンスを購入しない,NA,NA,,,わからない,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,,200万円未満,ごみそうじをしたが市役所でとりにこないのはどういう事か。
21,9月27日_プレ,鱒浦,男性,50代,網走市内,,,20年以上,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,,知らないが、納得している,0,0,0,0,,知っている,そう思う,どちらかといえば賛成,ライセンスを購入しない,NA,NA,,,5日以上10日未満,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,600万円以上800万円未満,
22,9月27日_プレ,鱒浦,男性,70代,網走市内,,,20年以上,10日以上30日未満,昨シーズンは来ていない,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,,知っていて、納得している,0,0,0,0,,知っている,あまりそう思わない,どちらかといえば反対,ライセンスを購入する,1シーズン有効券,5000,,,50日以上,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,200万円未満,
23,9月27日_プレ,鱒浦,男性,40代,道内,北見,,5年以上10年未満,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,知っていて、納得している,1,0,0,0,,少し知っている,ややそう思う,どちらかといえば賛成,ライセンスを購入しない,NA,NA,,,5日未満,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,600万円以上800万円未満,
24,9月27日_プレ,鱒浦,男性,70代,道内,北見,,20年以上,5日未満,5日以上10日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,,知っていて、納得している,0,0,0,0,,知っている,そう思わない,どちらかといえば反対,ライセンスを購入する,1日有効券,5000,,,5日未満,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,200万円以上400万円未満,
25,10月4日,北浜,男性,30代,道内,旭川,,5年以上10年未満,5日未満,5日以上10日未満,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,,知らないが、納得している,0,0,0,0,,少し知っている,ややそう思う,どちらかといえば賛成,ライセンスを購入する,1シーズン有効券,10000,,,5日以上10日未満,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,,400万円以上600万円未満,場所取りをきびしくする　釣りをするわけでもないのにロープしてるから　釣りができないのはおかしいと思うから
26,10月4日,北浜,女性,50代,道内,北見,,20年以上,5日以上10日未満,10日以上30日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,,知っているが、納得していない,1,1,0,0,,知っている,そう思う,賛成,ライセンスを購入する,1シーズン有効券,10000,,,わからない,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,,400万円以上600万円未満,中途半端なルールだと守らないと思う。　ゴミ捨てにも罰金！！
27,10月4日,北浜,男性,80代以上,網走市内,,,5年未満,10日以上30日未満,30日以上50日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,知っていて、納得している,0,0,0,0,,少し知っている,ややそう思う,どちらかといえば賛成,ライセンスを購入する,1シーズン有効券,5000円以下（　　　　　円）,1000,,5日以上10日未満,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,200万円未満,
28,10月4日,北浜,男性,50代,道内,北見,,20年以上,10日以上30日未満,10日以上30日未満,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,,知っているが、納得していない,0,1,0,0,,知っている,そう思う,賛成,ライセンスを購入する,NA,50000,,,10日以上30日未満,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,ルールを平気で無視する人がいるから,600万円以上800万円未満,
29,10月4日,北浜,男性,70代,道内,士幌,,20年以上,30日以上50日未満,50日以上,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,,知っているが、納得していない,0,0,1,0,,知っている,そう思わない,反対,ライセンスを購入する,1シーズン有効券,30000,,,50日以上,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,,200万円未満,
30,10月4日,北浜,男性,60代,道内,札幌市,,5年以上10年未満,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,,知らないが、納得している,0,0,0,0,,あまり知らない,あまりそう思わない,反対,ライセンスを購入しない,NA,NA,,,5日未満,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,"800万円以上1,000万円未満",
31,10月4日,北浜,男性,50代,道内,,,10年以上20年未満,5日以上10日未満,5日以上10日未満,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,,知らないが、納得している,0,0,0,0,,知っている,そう思う,どちらかといえば反対,ライセンスを購入しない,NA,NA,,,5日以上10日未満,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,回答したくない,ナシ
32,10月4日,北浜,男性,80代以上,道内,,,20年以上,5日未満,5日未満,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,知っていて、納得している,1,0,0,0,,少し知っている,そう思う,賛成,ライセンスを購入する,1シーズンの週末（土日）のみ有効券,5000円以下（　　　　　円）,2000,,5日未満,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,200万円以上400万円未満,
33,10月4日,北浜,男性,30代,道内,音更町,,20年以上,5日未満,10日以上30日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,,知っているが、納得していない,1,0,0,0,,知っている,ややそう思う,反対,ライセンスを購入しない,NA,わからない,,,NA,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,,400万円以上600万円未満,
34,10月4日,北浜,男性,60代,道内,石狩,,20年以上,5日以上10日未満,10日以上30日未満,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,知っていて、納得している,0,0,0,0,,知っている,ややそう思う,どちらかといえば賛成,ライセンスを購入する,1シーズン有効券,10000,,,10日以上30日未満,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,"1,200万円以上1,500万円未満",
35,10月4日,北浜,女性,30代,道内,札幌,,5年以上10年未満,5日以上10日未満,5日以上10日未満,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,,知っていて、納得している,0,0,0,0,,少し知っている,あまりそう思わない,どちらかといえば反対,ライセンスを購入する,1シーズン有効券,10000,,,10日以上30日未満,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,400万円以上600万円未満,
36,10月4日,北浜,男性,70代,道内,札幌,,20年以上,10日以上30日未満,10日以上30日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,,知っていて、納得している,0,0,0,0,,少し知っている,あまりそう思わない,どちらかといえば反対,ライセンスを購入しない,NA,NA,,,NA,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,NA,
37,10月4日,北浜,男性,70代,道内,音更,,20年以上,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,知らないが、納得している,0,0,0,0,,知っている,そう思わない,どちらかといえば反対,ライセンスを購入しない,NA,NA,,,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,回答したくない,
38,10月4日,北浜,男性,50代,道内,,,10年以上20年未満,5日未満,5日未満,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,知っていて、納得している,0,0,0,0,,知っている,そう思う,賛成,ライセンスを購入する,1日有効券,5000円以下（　　　　　円）,,,5日未満,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,回答したくない,
39,10月4日,北浜,男性,50代,道内,北見,,20年以上,5日未満,5日以上10日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,知っているが、納得していない,0,0,1,0,,知っている,ややそう思う,どちらかといえば賛成,ライセンスを購入する,1シーズンの週末（土日）のみ有効券,10000,,,5日以上10日未満,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,,回答したくない,
40,10月4日,北浜,男性,80代以上,道内,芽室町,,10年以上20年未満,5日未満,5日未満,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,知っていて、納得している,0,0,0,0,,少し知っている,わからない,どちらかといえば賛成,ライセンスを購入する,NA,5000円以下（　　　　　円）,,,5日未満,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,,400万円以上600万円未満,
41,10月4日,北浜,男性,70代,道内,北見,,5年以上10年未満,30日以上50日未満,30日以上50日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,知っていて、納得している,1,0,0,0,,少し知っている,あまりそう思わない,わからない,ライセンスを購入する,1シーズン有効券,10000,,,30日以上50日未満,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,,200万円未満,
42,10月4日,北浜,男性,60代,道内,北見市,,20年以上,10日以上30日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,,知っているが、納得していない,0,0,0,0,一人三本,知っている,ややそう思う,どちらかといえば反対,ライセンスを購入しない,NA,NA,,,5日以上10日未満,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,回答したくない,
43,10月4日,北浜,男性,80代以上,道内,音更,,5年以上10年未満,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,知っていて、納得している,0,0,0,0,,知っている,あまりそう思わない,どちらかといえば反対,ライセンスを購入する,1日有効券,5000円以下（　　　　　円）,,,5日未満,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,200万円未満,ルールを守るよう指導して下さい
44,10月4日,北浜,男性,40代,道内,旭川,,20年以上,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,,知っているが、納得していない,0,1,0,0,,知っている,そう思う,どちらかといえば反対,ライセンスを購入する,1日有効券,5000円以下（　　　　　円）,3000,,5日未満,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,400万円以上600万円未満,
45,10月4日,北浜,男性,80代以上,道内,北見,,20年以上,5日未満,10日以上30日未満,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,知っていて、納得している,0,0,0,0,,知っている,そう思わない,反対,NA,1シーズン有効券,30000,,,10日以上30日未満,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,200万円以上400万円未満,
